file,theorem,kind,n_lemmas,axis1,axis2,verified,lemmas
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_assert_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1475_12_5,assert,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;imp_self
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_assert_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1481_17_10,assert,14,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const;imp_self
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_postcondition_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1468_9_13,postcondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_precondition_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1476_9_4,precondition,15,DERIVABLE,REWRITE-CLOSURE(core-extended),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;Nat.add_le_add_iff_right;Nat.le_add_right;imp_self
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_precondition_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1478_5_7,precondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_precondition_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1482_9_9,precondition,14,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const;imp_self
cohen_cs5_recog__lemma_rho_acol_identity_word,_tactus_precondition_cohen_cs5_recog.lemma_rho_acol_identity_word_at_cohen_cs5_recog_1484_5_12,precondition,13,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add;forall_const
cohen_cs6__lemma_C_faithful,_tactus_postcondition_cohen_cs6.lemma_C_faithful_at_cohen_cs6_114_9_7,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs6__lemma_C_faithful,_tactus_precondition_cohen_cs6.lemma_C_faithful_at_cohen_cs6_117_5_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs6__lemma_C_faithful,_tactus_precondition_cohen_cs6.lemma_C_faithful_at_cohen_cs6_118_5_4,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs6__lemma_C_faithful,_tactus_precondition_cohen_cs6.lemma_C_faithful_at_cohen_cs6_119_5_6,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs7__lemma_C_faithful_printable,_tactus_postcondition_cohen_cs7.lemma_C_faithful_printable_at_cohen_cs7_290_9_7,postcondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
cohen_cs7__lemma_C_faithful_printable,_tactus_precondition_cohen_cs7.lemma_C_faithful_printable_at_cohen_cs7_293_5_2,precondition,12,DERIVABLE,REWRITE-CLOSURE(fixed-core),yes,and_imp;forall_eq;and_self;implies_true;eq_iff_iff;true_and;Nat.zero_add;Int.cast_ofNat_Int;Int.zero_add;Int.sub_zero;Nat.add_zero;Int.natCast_add
